cik,company_name,slug,role,tra_id,counterparties,date_executed,date_terminated,status_flag,tax_asset_type,payment_pct,notes
1420293,Advantage Title Insurance LLC,advantage-title-insurance-llc,no_tra,,,,,,,,Advantage Title Insurance LLC is not a party to any Tax Receivable Agreement disclosed in these filings. It appears in this CIK as a co-registrant guarantor subsidiary on Realogy Corporation's December 2007 debt-exchange S-4 (file no. 333-148153) and the January 2008 S-4/A.
1157377,The Advisory Board Company,advisory-board-co,beneficiary,,,,,,,,"Role: Beneficiary. The Advisory Board Company (""ABCO"") is a beneficiary under the Income Tax Receivables Agreement dated June 4, 2015 among Evolent Health, Inc. (the obligor / ""PubCo""), Evolent Health LLC, ABCO, and the other Class B holders."
785787,Contract log,aep-industries-inc,no_tra,,,,,,,,"# Contract log ## Role determination Firm: AEP Industries Inc. (CIK 0000785787), a New Jersey plastic packaging manufacturer. Role: mention-only (merger target)."
2096300,AEVEX Corp.,aevex-corp,pubco,TRA-2026-04-16,"Rights Holders listed on Schedule A; the principal Class B holder is ATS Investment Holdings, LLC (recipient of 63,297,524 Class B shares on April 16, 2026 per the 8-K).",2026-04-16,,in_force,"section_754_step_up, blocker_attributes",85%,"PubCo (TRA obligor). AEVEX Corp. is a Delaware corporation that completed an Up-C IPO on April 16-20, 2026."
886171,Contract log,agiliti-health-inc,no_tra,,,,,,,,The firm's filings span 2001 through January 2019 and fall into two distinct eras: 1. Pre-2018 (2001 through mid-2018): standalone leveraged-finance reporting entity.
1749704,"Agiliti, Inc.",agiliti-inc-de,pubco,TRA-2019-01-04,"Agiliti Holdco, Inc.",2019-01-04,,in_force,,,"PubCo / TRA obligor. Agiliti, Inc. is the public company that committed to pay 85% of certain realized tax benefits to the pre-business-combination shareholders of Agiliti Holdco, Inc. (f/k/a UHS Holdco, Inc.)."
1439222,contract_log.md,agios-pharmaceuticals-inc,no_tra,,,,,,,,"# contract_log.md ## Firm: Agios Pharmaceuticals, Inc. (CIK 0001439222) ## Role determination: Not a TRA party Agios Pharmaceuticals is a clinical/commercial-stage biopharmaceutical company that went public via a standard underwritten IPO in July 2013 (Form S-1, Registration No. 333-189216; closing prospectus 424(b)(4) filed July 24, 2013)."
1592016,"AgroFresh Solutions, Inc.",agrofresh-solutions-inc,pubco,TRA-2015-07-31,,2015-07-31,2019-12-20,terminated,"section_754_step_up, 338h10_basis_step_up",,"AgroFresh Solutions is the PubCo (TRA obligor). The company is the successor to Boulevard Acquisition Corp., a special-purpose acquisition company that consummated a business combination with The Dow Chemical Company (""TDCC"") on July 31, 2015, acquiring the AgroFresh business from TDCC's wholly-owned subsidiary Rohm and Haas Company (""R&H"")."
1517022,"Akebia Therapeutics, Inc.",akebia-therapeutics-inc,no_tra,,,,,,,,"Role: Not a TRA party. Akebia is a conventional Delaware C-corporation (incorporated 2007, EIN 20-8756903) that IPO'd in March 2014 via an ordinary C-corp registration."
766421,"Alaska Air Group, Inc.",alaska-air-group-inc,no_tra,,,,,,,,"Role: Mention-only. Alaska Air Group is a long-standing commercial-airline holding company organized as a Delaware C-corporation, not an Up-C structure."
1901336,Alchemy Investments Acquisition Corp 1,alchemy-investments-acquisition-corp-1,never_executed,TRA-2025-08-22-form-of,,2025-08-22,,never_executed,section_754_step_up,,"Alchemy Investments Acquisition Corp 1 (ticker ALCY, originally incorporated as VAM Acquisition Corp.) is a Cayman Islands special purpose acquisition company (SPAC) that consummated its initial public offering on May 9, 2023. ALCY is in the role of PubCo (prospective TRA obligor): on August 22, 2025 it entered into a Business Combination Agreement with Cartiga, LLC pursuant to which a Delaware Up-C structure will be created, with Cartiga Holdings, Inc."
1845123,"Swiftmerge Acquisition Corp. / AleAnna, Inc.",aleanna-inc,never_executed,TRA-2024-draft-never-executed,,2024-06-04,,never_executed,"section_754_step_up, pre_ipo_nol",85%,"# Contract identification log: Swiftmerge Acquisition Corp. / AleAnna, Inc. (CIK 1845123) ## Summary The firm is the SPAC Swiftmerge Acquisition Corp., which consummated its business combination with AleAnna Energy, LLC on December 13, 2024 and was renamed AleAnna, Inc. (NASDAQ: ANNA). The deal was originally structured as an Up-C with a Tax Receivable Agreement, but the TRA was dropped from the deal before closing and was never executed."
1844744,"Alight, Inc.",alight-inc-de,pubco,TRA-2021-07-02,,2021-07-02,,in_force,"section_754_step_up, blocker_attributes",85%,"Alight, Inc. is the PubCo (TRA obligor). Alight was formed via a SPAC business combination in which Foley Trasimene Acquisition Corp. (FTAC) was reorganized as Alight, Inc. (originally named ""Acrobat Holdings, Inc."" in pre-close documents), and the Blackstone-led owners of the pre-IPO Tempo Holding Company, LLC operating partnership received units, Class A common stock, and TRA rights."
1809104,"Alight, Inc.",alight-inc-delaware,pubco,TRA-2021-07-02,,2021-07-02,,in_force,section_754_step_up,,"PubCo (TRA obligor). Alight, Inc. is the public company that committed to pay TRA beneficiaries (the ""TRA Parties"") 85% of certain realized tax benefits arising from the July 2, 2021 business combination between Foley Trasimene Acquisition Corp. (FTAC), a SPAC, and Tempo Holding Company, LLC."
1362468,Allegiant Travel Company,allegiant-travel-co,acquirer,,,,,,,,"Role: Acquirer. Allegiant Travel Company is a public airline (NASDAQ: ALGT) that went public via a conventional IPO on December 8, 2006 (424B4 accession 0001047469-06-014859)."
1317685,Alliance Laundry Holdings Inc.,alliance-laundry-holdings-inc,no_tra,,,,,,,,"Classified role: not a TRA party (no TRA ever existed at this firm). Alliance Laundry Holdings Inc. completed a conventional Delaware C-corporation IPO on October 8, 2025 (priced 10/8/2025, closed shortly after; underwriting agreement filed 10/10/2025 as Exhibit 1.1 to the Item 1.01 8-K)."
1420679,Alpha Referral Network LLC,alpha-referral-network-llc,beneficiary,,,,,,,,"Alpha Referral Network LLC is a subsidiary-level guarantor of Realogy Corporation's senior notes; the CIK exists solely to co-register Realogy debt and resale offerings, and it carries no direct TRA contractual role. The only TRA referenced in any filing under this CIK is the Wright Express Tax Receivable Agreement dated February 22, 2005, among Wright Express Corporation (WEX), Cendant Corporation, and Cendant Mobility Services Corporation (Cartus)."
1882607,"Alpine Summit Energy Partners, Inc.",alpine-summit-energy-partners-inc,pubco,,,,,,,,"Role: PubCo (TRA obligor). Alpine Summit Energy Partners, Inc. (""Pubco"") is a British Columbia–incorporated holding company that completed an Up-C–style business combination on September 7, 2021 with HB2 Origination, LLC, a Delaware oil-and-gas LLC."
1518403,"Contract log for Alta Mesa Holdings, LP",alta-mesa-holdings-lp,financing_arm,,,,,,,,"Alta Mesa Holdings, LP is not a party to any Tax Receivable Agreement. Its role is financing arm within the post-merger Up-C structure created by the February 9, 2018 business combination with Silver Run Acquisition Corp."
1690769,"Alta Mesa Resources, Inc.",alta-mesa-resources-inc-de,pubco,TRA-2018-02-09,"Alta Mesa Resources, Inc.",2018-02-09,,terminated_bankruptcy,section_754_step_up,85%,"PubCo (TRA obligor). Alta Mesa Resources, Inc. (formerly Silver Run Acquisition Corporation II, a SPAC) executed a Tax Receivable Agreement at the closing of its Up-C business combination on February 9, 2018, agreeing to pay 85% of realized cash tax savings to the Initial Limited Partners of the operating partnership SRII Opco, LP (the Riverstone Contributor and High Mesa Holdings LP / Alta Mesa Contributor). VALIDATION 2026-05-17: Chapter 11 petition filed Sep 11, 2019; TRA cancelled in bankruptcy. Status upgraded from terminated_unverified."
1838615,"AlTi Global, Inc.",alti-global-inc,pubco,TRA-2023-01-03,,2023-01-03,,in_force,section_754_step_up,,"PubCo (TRA obligor). AlTi Global is the public successor to Cartesian Growth Corporation (SPAC) following the January 3, 2023 Business Combination with Tiedemann Wealth Management, the TIG entities, and Alvarium Investments."
1411579,"AMC Entertainment Holdings, Inc.",amc-entertainment-holdings-inc,beneficiary,,,,,,,,"AMC Entertainment Holdings, Inc. is a beneficiary of the National CineMedia, Inc. (""NCM"") tax receivable agreement, not the obligor of any TRA. AMC went public on the NYSE in December 2013 (Wanda-era IPO) as a conventional C-corp, not via an Up-C structure, and committed to no TRA of its own."
722077,AMC Entertainment Inc.,amc-entertainment-inc,beneficiary,,,,,,,,"Role: beneficiary. AMC Entertainment Inc. is a Founding Member of National CineMedia, LLC (NCM LLC) and a beneficiary under the National CineMedia, Inc. (""NCM, Inc."") Tax Receivable Agreement entered into in connection with NCM, Inc.'s February 2007 IPO."
1488139,"Ameresco, Inc.",ameresco-inc,no_tra,,,,,,,,"Ameresco, Inc. is not a TRA party in any role (PubCo / beneficiary / acquirer / financing arm / never-executed). Its 2010 IPO was a standard dual-class C-corp offering, not an Up-C structure: the 424B4 prospectus (accession 0000950123-10-067046, filed 2010-07-22) describes Class A and Class B common stock differing only in voting rights and conversion mechanics, with no LLC-unit exchange mechanism, no ""Continuing LLC Members"", and no Tax Receivable Agreement filed as an exhibit at IPO or in any subsequent registration."
1498068,"American Renal Associates Holdings, Inc.",american-renal-associates-holdings-inc,pubco,TRA-2016-04-26,Pre-IPO stockholders on a pro rata basis.,2016-04-26,,transferred_offledger,"section_754_step_up, option_deductions",85%,"# Contract log: American Renal Associates Holdings, Inc. (CIK 0001498068) ## Role classification - Role: PubCo (TRA obligor). - Structure: Non-Up-C IPO. ARA's TRA covers Option Deductions (federal, state, and local cash tax savings from compensatory stock options issued to pre-IPO option holders) rather than basis step-ups from LLC unit exchanges."
1420678,American Title Co of Houston,american-title-co-of-houston,beneficiary,,,,,,,,"American Title Co of Houston is a wholly-owned title-and-settlement-services subsidiary of Realogy Corporation. CIK 0001420678 is the subsidiary's own CIK, assigned because the subsidiary is named as a guarantor / co-registrant on Realogy's senior notes and convertible notes registrations."
1178879,"Amicus Therapeutics, Inc.",amicus-therapeutics-inc,beneficiary,TRA-2021-09-29-form-of-unexecuted,,2021-09-29,,never_executed,section_754_step_up,85%,"Amicus Therapeutics was identified in screening as a TRA-mentioning firm but is not a TRA obligor or a current TRA beneficiary. The TRA mentions in this firm's filings derive entirely from a single 2021 transaction: a planned SPAC business combination in which Amicus would have spun off its gene therapy business (Caritas Therapeutics, LLC, held through Amicus GT Holdings, LLC) into a newly Up-C-structured public company by combination with ARYA Sciences Acquisition Corp IV (sponsored by Perceptive Advisors)."
1723128,"Amneal Pharmaceuticals, Inc.",amneal-pharmaceuticals-inc,pubco,TRA-2018-05-04,,2018-05-04,,in_force,section_754_step_up,75%,"PubCo (TRA obligor). Amneal Pharmaceuticals, Inc. is the public company that committed to pay TRA beneficiaries (the ""Amneal Group"" — the pre-combination members of Amneal Pharmaceuticals LLC) following its May 4, 2018 Up-C business combination with Impax Laboratories."
1640313,"Amplify Snack Brands, Inc.",amplify-snack-brands-inc,pubco,TRA-2015-08-04,,2015-08-04,"",in_force,"section_754_step_up, pre_ipo_nol",,"Amplify Snack Brands, Inc. is the PubCo (TRA obligor). The firm went public via a Corporate Reorganization (Topco Liquidation) and Up-C-style IPO in August 2015 and committed to make tax-benefit payments to the former holders of units of its prior parent, TA Topco 1, LLC (""Topco""). VALIDATION 2026-05-17: Hershey tender closed Jan 31, 2018 (8-K 0001193125-18-026567); merger agreement does NOT terminate TRA. Obligation persists under acquirer Hershey (CIK 47111); follow-up requires reading Hershey's 10-K filings post-2018."
6281,"Analog Devices, Inc.",analog-devices-inc,beneficiary,,,,,,,,"# Contract log: Analog Devices, Inc. (CIK 0000006281) ## Summary Role: No real TRA here (incidental mentions only). After reading every TRA-mentioning document and screening 147 filings (2000-12-13 through 2026-03-12) for TRA markers (Up-C, Section 754, Pre-IPO Holders, Continuing LLC Members, Realized Tax Benefit, Tax Receivable Agreement), no Tax Receivable Agreement has ever been executed by Analog Devices or any of its consolidated subsidiaries."
2065708,Andersen Group Inc.,andersen-group-inc,pubco,TRA-2025-12-16,Andersen Group Inc.,2025-12-16,,in_force,section_754_step_up,85%,PubCo (TRA obligor). Andersen Group Inc. is the public-company obligor under a TRA executed concurrent with its December 2025 Up-C IPO.
1355001,Anywhere Real Estate Group LLC,anywhere-real-estate-group-llc,beneficiary,TRA-2005-02-22,,2005-02-22,,terminated,section_754_step_up,,"The firm is a partial beneficiary (assignee) of one TRA: the Tax Receivable Agreement dated February 22, 2005 among Wright Express Corporation (WEX, the obligor / PubCo), Cendant Corporation, and Cendant Mobility Services Corporation. The original TRA itself is not filed under Realogy's CIK; it was filed under WEX's CIK in connection with WEX's February 2005 IPO."
1398987,Anywhere Real Estate Inc.,anywhere-real-estate-inc,beneficiary,,,,,,,,"Role: Beneficiary (already-prepaid). Anywhere Real Estate Inc. (formerly Realogy Holdings Corp., and earlier Domus Holdings Corp.) is a downstream beneficiary of the Tax Receivable Agreement dated February 22, 2005 among Wright Express Corporation (""WEX""), Cendant Corporation, and Cendant Mobility Services Corporation (""Cartus"")."
1420685,"APEX Real Estate Information Services, LLC",apex-real-estate-information-services-llc,beneficiary,,,,,,,,"APEX Real Estate Information Services, LLC is a wholly-owned subsidiary of Realogy Corporation, appearing in the guarantor schedule of Realogy's December 2007 senior-notes registration. CIK 0001420685 is the subsidiary's own CIK, assigned because the subsidiary co-registered Realogy's senior-notes / senior-toggle-notes / senior-subordinated-notes exchange offer as a guarantor."
1411494,Apollo Asset Management,apollo-asset-management-inc,pubco,TRA-2007-07-13,,2007-07-13,,in_force,section_754_step_up,85%,"# Contract identification log — Apollo Asset Management (CIK 1411494) Origin entity: Apollo Global Management, LLC (later renamed Apollo Global Management, Inc. on Sept 5, 2019, then renamed Apollo Asset Management, Inc. on Jan 1, 2022 after the Athene merger spun a new ultimate parent under CIK 1858681). One underlying TRA was identified — the 2007 Apollo TRA, established at the 2007 reorganization that prepared Apollo for its eventual 2011 IPO."
1858681,"Apollo Global Management, Inc.",apollo-global-management-inc,pubco,TRA-2013-05-06,,2013-05-06,,in_force,section_754_step_up,85%,"Apollo Global Management, Inc. (CIK 0001858681) is the post-2022 public parent that emerged from the merger of Athene Holding Ltd. with Apollo Asset Management, Inc. (the pre-2022 PubCo, CIK 0001411494; renamed ""Apollo Asset Management"" as a subsidiary at the merger close on January 1, 2022). Apollo plays the role of PubCo (TRA obligor) for two distinct TRAs that the firm carries as of the FY2025 10-K: 1."
1858681,"Apollo Global Management, Inc.",apollo-global-management-inc,pubco,TRA-2021-06-16-Bridge,,2021-06-16,,in_force,section_754_step_up,85%,"Apollo Global Management, Inc. (CIK 0001858681) is the post-2022 public parent that emerged from the merger of Athene Holding Ltd. with Apollo Asset Management, Inc. (the pre-2022 PubCo, CIK 0001411494; renamed ""Apollo Asset Management"" as a subsidiary at the merger close on January 1, 2022). Apollo plays the role of PubCo (TRA obligor) for two distinct TRAs that the firm carries as of the FY2025 10-K: 1."
1751008,AppLovin Corp,applovin-corp,no_tra,,,,,,,,"Role: none (no TRA). AppLovin Corp executed a traditional dual-class IPO on April 15, 2021, with Class A common stock sold to the public and Class B / Class F common stock retained by insiders for voting control."
1821075,"Appreciate Holdings, Inc.",appreciate-holdings-inc,pubco,TRA-2022-11-29,,2022-11-29,,in_force,section_754_step_up,85%,"Appreciate Holdings, Inc. is the PubCo (TRA obligor) in an Up-C structure created via a SPAC business combination. The firm filed its earliest documents as PropTech Investment Corporation II (PTIC II), a Delaware SPAC; on November 29, 2022 PTIC II closed its business combination with RW National Holdings, LLC (""Renters Warehouse"") and renamed itself Appreciate Holdings, Inc. (former-names record in SEC submissions metadata confirms the rename effective 2022-11-29)."
1144326,"Appvion, Inc.",appvion-inc,never_executed,TRA-2012-05-16-never-executed,,2012-05-16,,never_executed,section_754_step_up,,"Appvion Inc. (formerly Appleton Papers Inc., renamed in 2013) is NOT a contractual party to the contemplated Tax Receivable Agreement found in its filings. In the planned 2012 SPAC business combination, Appvion was the operating target company."
1584423,"APX Group Holdings, Inc.",apx-group-holdings-inc,no_tra,,,,,,,,Role: none (no TRA). APX Group Holdings is a debt-registrant subsidiary structure under Blackstone's Vivint (and post-2020 Vivint Smart Home) acquisition.
1823766,Archaea Energy Inc.,archaea-energy-inc,pubco,,,,,,,,Role: PubCo that contemplated but never executed a Tax Receivable Agreement. Status flag: never_executed.
894871,"Arena Group Holdings, Inc.",arena-group-holdings-inc,no_tra,,,,,,,,"# Contract log — Arena Group Holdings, Inc. (CIK 0000894871) ## Role determination Arena Group Holdings, Inc. (formerly TheMaven, Inc.; formerly Integrated Surgical Systems / Integrated Media Holdings) is not a Tax Receivable Agreement party in any capacity (PubCo obligor, beneficiary, acquirer of a TRA-bearing target, or financing arm)."
1829432,Ares Acquisition Corp,ares-acquisition-corp,never_executed,TRA-2022-12-05-never-executed,,2023-10-13,,never_executed,section_754_step_up,,"Ares Acquisition Corp (ticker AAC) is a special-purpose acquisition company (SPAC) sponsored by Ares Management Corporation that completed its IPO on February 4, 2021 (424B4 accession 0001193125-21-027346). As a SPAC, AAC itself does not have an underlying operating business and is not party to a Tax Receivable Agreement of its own."
1176948,Ares Management Corp,ares-management-corp,pubco,TRA-2014-05-01,,2014-05-01,,in_force,section_754_step_up,85%,"Ares is a PubCo / TRA obligor. The Ares public entity (initially Ares Management, L.P., later Ares Management Corporation following the 2018 C-corp conversion) is the parent of an Up-C structure in which pre-IPO holders (collectively referred to as AOH, Alleghany, and the Limited Partners) hold partnership interests in the Ares Operating Group (""AOG"") partnerships and are entitled to surrender those units to PubCo in taxable exchanges."
1865187,"Aris Water Solutions, Inc.",aris-water-solutions-inc,pubco,TRA-2021-10-26,,2021-10-26,,terminated,section_754_step_up,,"PubCo (TRA obligor). Aris Water Solutions, Inc. went public via Up-C IPO on October 26, 2021."
2044009,Armada Acquisition Corp. II,armada-acquisition-corp-ii,pubco,TRA-2025-10-19,,2025-10-19,,never_executed,section_754_step_up,,"Armada Acquisition Corp. II is a Cayman Islands blank check company (SPAC) that, on October 19, 2025, signed a Business Combination Agreement (BCA) with Evernorth Holdings, Inc. (Pubco), Evernorth Corporate Merger Sub Inc. (SPAC Merger Sub), Pathfinder Digital Assets LLC (the Company / OpCo), Evernorth Company Merger Sub LLC (Company Merger Sub), and Ripple Labs Inc."
1820721,"Array Technologies, Inc.",array-technologies-inc,pubco,TRA-2016-07-08,,2016-07-08,,in_force,section_754_step_up,,"Array Technologies, Inc. is the PubCo (TRA obligor). The TRA was originated on July 8, 2016 in connection with the 2016 private acquisition of Array Technologies Patent Holdings Co., LLC by ATI Investment Sub, Inc. (the Former Parent), which gave rise to a Section 1012 basis step-up in the acquired developed-technology assets."
1419178,Artio Global Investors Inc.,artio-global-investors-inc,pubco,TRA-2009-09-29,,2009-09-29,,,section_754_step_up,85%,"PubCo (TRA obligor). Artio Global Investors Inc. went public via an Up-C structure on September 29, 2009 and committed to pay 85% of certain realized tax savings to the two Principals (Richard C."
1517302,Artisan Partners Asset Management Inc.,artisan-partners-asset-management-inc,pubco,TRA-2013-03-06-Merger,Artisan Partners Asset Management Inc.,2013-03-06,,in_force,section_754_step_up,85%,"Artisan Partners Asset Management Inc. (""APAM"") is the PubCo (TRA obligor) in a classic Up-C structure. APAM IPO'd in March 2013, and is the parent holding company over Artisan Partners Holdings LP."
1517302,Artisan Partners Asset Management Inc.,artisan-partners-asset-management-inc,pubco,TRA-2013-03-12-Exchanges,Artisan Partners Asset Management Inc.,2013-03-12,,in_force,section_754_step_up,85%,"Artisan Partners Asset Management Inc. (""APAM"") is the PubCo (TRA obligor) in a classic Up-C structure. APAM IPO'd in March 2013, and is the parent holding company over Artisan Partners Holdings LP."
2093536,"Arxis, Inc.",arxis-inc,pubco,TRA-2026-04-16,"Arxis Inc. (PubCo) and Arcline Arxis Advisory I, L.P. (TRA Party). -",2026-04-16,,in_force,,,"PubCo (TRA obligor). Arxis, Inc. is a newly-public Delaware corporation that completed its IPO on April 17, 2026."
1838821,ARYA Sciences Acquisition Corp IV,arya-sciences-acquisition-corp-iv,never_executed,TRA-2021-09-29,,2021-09-29,,never_executed,section_754_step_up,85%,"ARYA Sciences Acquisition Corp IV was a Cayman Islands SPAC (IPO closed March 2, 2021). The firm role for TRA purposes is PubCo-in-waiting under a contemplated Up-C business combination that never closed."
1420762,contract_log.md — Associated Client Referral LLC,associated-client-referral-llc,no_tra,,,,,,,,Role: non-party guarantor subsidiary (no TRA exists under this firm's CIK). Reasoning.
802967,"Associated Materials, LLC",associated-materials-llc,pubco,,,,,,,,"Role: indeterminate; likely PubCo (TRA obligor) with no on-EDGAR contract. Associated Materials, LLC is a Delaware LLC formerly known as Associated Materials Incorporated."
1420270,Associates Investments,associates-investments,beneficiary,,,,,,,,"Associates Investments is a California-incorporated subsidiary of Realogy Corporation, listed as a co-registrant guarantor on Realogy's S-4 high-yield exchange-offer registration (filed December 18, 2007; Amendment No. 1 filed January 9, 2008) covering 10.50% Senior Notes due 2014, 11.00%/11.75% Senior Toggle Notes due 2014, and 12.375% Senior Subordinated Notes due 2015 issued in connection with the Apollo LBO of Realogy. Associates Investments is one of roughly one hundred Realogy subsidiary guarantors on Schedule A and signs the registration statement only in that capacity."
1420272,"Associates Realty, Inc.",associates-realty-inc,pubco,,,,,,,,"Associates Realty, Inc. (CIK 0001420272) is a Realogy Corporation subsidiary that appears as a co-registrant / note-guarantor on Realogy's December 2007 / January 2008 S-4 bond exchange-offer registration statement. The two filings in this directory are: - 2007-12-18 | S-4 | 0001193125-07-267402 | Realogy bond exchange-offer registration statement - 2008-01-09 | S-4/A | 0001193125-08-003431 | Amendment to the above S-4 Both filings carry the same Realogy bond exchange-offer prospectus together with the standard Realogy financing exhibits: three bond indentures (10."
1420271,Associates Realty Network,associates-realty-network,no_tra,,,,,,,,"Associates Realty Network is a co-registrant guarantor subsidiary in the Realogy Corporation S-4 / S-4/A bond-exchange-offer filings (accessions 0001193125-07-267402 and 0001193125-08-003431, filed by the Realogy registration group of co-registrants). The firm is not a contractual party to any Tax Receivable Agreement."
1780312,"AST SpaceMobile, Inc.",ast-spacemobile-inc,pubco,TRA-2021-04-06,,2021-04-06,,in_force,section_754_step_up,85%,"PubCo (TRA obligor). AST SpaceMobile, Inc. (Delaware) is the holding company in an Up-C structure formed via a SPAC business combination on April 6, 2021, in which New Providence Acquisition Corp. (""NPA"", the SPAC) acquired AST & Science LLC and was renamed AST SpaceMobile, Inc."
1824211,Astrea Acquisition Corp.,astrea-acquisition-corp,pubco,TRA-2021-08-11,,2021-08-11,,never_executed,section_754_step_up,,"Astrea Acquisition Corp. is a Delaware SPAC that completed its IPO on February 8, 2021 (ticker ASAX/ASAXU/ASAXW; Nasdaq). It was the contemplated PubCo (TRA obligor) in a proposed Up-C-style business combination with Lexyl Travel Technologies, LLC (d/b/a HotelPlanner.com), announced via 8-K on August 11, 2021."
732717,AT&T Inc.,at-t-inc,beneficiary,TRA-2021-05-17-WBD-Annex,AT&T Inc.,2021-05-17,,in_force,section_754_step_up,85%,"AT&T's role with respect to the only TRA-style instrument in its filings is beneficiary, not PubCo (obligor). The instrument is the ""Tax Receivable Annex"" embedded as Annex A of the Tax Matters Agreement dated May 17, 2021 between AT&T Inc. (""Remainco""), Magallanes, Inc. (""Spinco""), and Discovery, Inc. (collectively, with their subsidiaries, the ""RMT Group"")."
1420776,ATCOH Holding Company,atcoh-holding-co,never_executed,,,,,,,,"ATCOH Holding Company is a Texas title-services subsidiary of Realogy Corporation, named on Schedule A guarantor lists of Realogy's debt and equity registration statements. Its registrant siblings in this CIK family include American Title Company of Houston, Texas American Title Company, TAW Holding Inc., South Land Title Co., and South-Land Title of Montgomery County."
1527469,Athene Holding Ltd.,athene-holding-ltd,no_tra,,,,,,,,"Athene Holding Ltd. is a Bermuda-domiciled life insurance and retirement-services company. Across its 124 SEC filings retrieved here (May 2016 through May 2026, covering the December 2016 IPO, the December 31, 2021 Apollo Global Management merger, and the subsequent period as an Apollo subsidiary that continued to file separately because of registered public debt), Athene is not a party to any Tax Receivable Agreement."
1574648,Athlon Energy Inc.,athlon-energy-inc,pubco,TRA-2013-08-07,Athlon Energy Inc.,2013-08-07,,terminated_merger,"section_754_step_up, pre_ipo_nol",,"Athlon Energy Inc. is the PubCo (TRA obligor) under a single Up-C IPO Tax Receivable Agreement. Athlon completed its Up-C IPO on August 7, 2013."
