cik,accession,filename,classification,classifier_version,signals_matched,needs_a1_review,escalation_reason,reviewer_verdict,reviewer_rationale
0001004980,0000950157-20-000351,ex10-1.htm,uncertain,2,phrase,,,,
0001004980,0000950157-20-000709,ex10-2.htm,uncertain,2,phrase,,,,
0001008654,0001193125-24-268115,d869890dex101.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,"Centered title 'ASSET PURCHASE AGREEMENT' (Wells Fargo, Party Products entities, Tupperware Brands); not a TRA."
0001023291,0001193125-15-284953,d160672dex10a.htm,uncertain,2,phrase,,,,
0001023291,0001193125-15-380915,d11628dex10a.htm,uncertain,2,phrase,,,,
0001023291,0001193125-16-664825,d164732dex10b.htm,uncertain,2,phrase,,,,
0001023291,0001193125-16-673624,d233004dex101.htm,no,2,,,,,
0001023291,0001193125-16-729877,d176523dex102.htm,uncertain,2,phrase,,,,
0001040829,0001104659-22-042464,tm2211530d1_ex10-1.htm,no,2,,,,,
0001040829,0001104659-22-071928,tm2218606d1_ex10-1.htm,no,2,,,,,
0001050377,0001558370-21-003067,cnxn-20201231xex10d2.htm,uncertain,2,phrase,,,,
0001050377,0001558370-23-002947,cnxn-20221231xex10d2.htm,uncertain,2,phrase,,,,
0001050377,0001558370-23-012938,cnxn-20230630xex10d1.htm,uncertain,2,phrase,,,,
0001050377,0001558370-25-009797,cnxn-20250630xex10d1.htm,uncertain,2,phrase,,,,
0001067701,0001104659-17-052469,a17-20313_2ex10d1.htm,uncertain,2,phrase,,,,
0001067701,0001104659-17-052469,a17-20313_2ex10d2.htm,uncertain,2,phrase,,,,
0001075415,0001104659-15-043971,a15-13691_1ex10d1.htm,uncertain,2,phrase,,,,
0001091667,0001104659-22-067640,tm2217554d1_ex10-1.htm,uncertain,2,phrase,,,,
0001091667,0001104659-23-022811,tm236553d1_ex10-2.htm,uncertain,2,phrase,,,,
0001091667,0001104659-23-038343,tm2310675d1_ex10-1.htm,uncertain,2,phrase,,,,
0001091667,0001104659-23-125714,tm2332479d1_ex10-1.htm,uncertain,2,phrase,,,,
0001091667,0001104659-24-126817,tm2430518d1_ex10-1.htm,uncertain,2,phrase,,,,
0001091667,0001193125-16-596195,d148819dex101.htm,uncertain,2,phrase|defined_term_basis_adjustment,,,,
0001091667,0001193125-16-596195,d148819dex102.htm,uncertain,2,phrase,,,,
0001091667,0001193125-16-596195,d148819dex104.htm,uncertain,2,phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001091667,0001193125-16-596244,d148819dex101.htm,uncertain,2,phrase|defined_term_basis_adjustment,,,,
0001091667,0001193125-16-596244,d148819dex102.htm,uncertain,2,phrase,,,,
0001091667,0001193125-16-596244,d148819dex104.htm,uncertain,2,phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001094831,0001193125-08-076419,dex107.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001094831,0001193125-17-373651,d451437dex1019.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001094831,0001193125-17-373651,d451437dex108.htm,uncertain,2,phrase,,,,
0001094831,0001193125-17-373651,d451437dex109.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001095651,0001104659-23-041210,tm2310731d1_ex10-24.htm,no,2,,,,,
0001099219,0001193125-17-249962,d379288dex101.htm,uncertain,2,phrase,,,,
0001101215,0001101215-21-000188,exhibit_10-2.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001116132,0001144204-13-059305,v358914_ex10-1.htm,no,2,,,,,
0001123360,0001123360-24-000036,ex10209302024.htm,no,2,,,,,
0001123360,0001193125-22-226539,d357535dex101.htm,uncertain,2,phrase,,,,
0001162447,0001193125-12-309101,d362823dex101.htm,uncertain,2,phrase,,,,
0001162447,0001193125-12-309101,d362823dex102.htm,uncertain,2,phrase,,,,
0001162447,0001193125-12-309101,d362823dex105.htm,uncertain,2,phrase,,,,
0001162447,0001193125-12-309101,d362823dex106.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001162447,0001193125-12-309101,d362823dex107.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001162447,0001193125-12-309101,d362823dex109.htm,yes,2,centered_title|phrase|defined_term_basis_adjustment,,,,
0001168696,0001104659-07-036970,a07-11069_1ex10d2.htm,uncertain,2,phrase,,,,
0001168696,0001168696-14-000003,rgc201310kexhibit105.htm,uncertain,2,phrase,,,,
0001176948,0001047469-14-003681,a2219594zex-10_9.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001176948,0001104659-14-035848,a14-12159_1ex10d1.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001176948,0001628280-18-006007,exhibit107.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001176948,0001628280-19-001988,exhibit107.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001176948,0001628280-21-009343,a2021q110qexhibit104tra.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001176948,0001628280-23-016241,a2023q1exhibit101.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001176948,0001628280-26-011413,a2025q4exhibit105.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001178879,0001104659-21-120517,tm2128671d1_ex10-1.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,"Centered title 'BUSINESS COMBINATION AGREEMENT' (ARYA Sciences Acquisition Corp IV, Amicus Therapeutics); not a TRA."
0001178879,0001104659-21-120517,tm2128671d1_ex10-7.htm,uncertain,2,phrase,,,,
0001210677,0000950123-21-005516,filename6.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0000950123-21-005516,filename7.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0000950123-21-005516,filename8.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0000950170-21-001382,fa-20210630ex10_6.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0000950170-21-001382,fa-20210630ex10_7.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0000950170-22-004413,fa-ex10_19.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0001193125-21-177004,d147929dex107.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,"Centered title 'FASTBALL HOLDCO, L.P. CLASS C LP UNIT GRANT AGREEMENT'; equity grant, not a TRA."
0001210677,0001193125-21-177004,d147929dex108.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0001193125-21-177004,d147929dex109.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0001193125-21-189386,d147929dex1016.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0001193125-21-189386,d147929dex105.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001210677,0001193125-21-189386,d147929dex106.htm,uncertain,2,phrase|defined_term_tax_asset,,,,
0001236275,0001213900-22-064755,fs42022ex10-6_silversuntech.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment|defined_term_tax_asset,,,,
0001236275,0001213900-22-064755,fs42022ex10-7_silversuntech.htm,uncertain,2,phrase,,,,
0001236275,0001213900-23-033872,fs42023a4ex10-7_silversun.htm,uncertain,2,phrase,,,,
0001273784,0001104659-10-032924,a10-11623_1ex10d1.htm,no,2,,,,,
0001284807,0000950142-15-002341,eh1501298_ex1001.htm,uncertain,2,phrase,,,,
0001284807,0001193125-13-215370,d483013dex1041.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment,,,,
0001284807,0001193125-13-238827,d544766dex103.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment,,,,
0001284807,0001193125-14-027903,d665847dex101.htm,uncertain,2,phrase,,,,
0001284807,0001284807-14-000022,a20131231-10kex1047.htm,uncertain,2,phrase,,,,
0001288248,0001193125-13-447065,d630474dex101.htm,uncertain,2,phrase|defined_term_basis_adjustment,,,,
0001288248,0001193125-13-447065,d630474dex102.htm,uncertain,2,phrase|defined_term_basis_adjustment,,,,
0001297401,0000950123-04-011955,y98977a3exv10w8.txt,uncertain,2,phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,yes,"Centered title 'TAX RECEIVABLE AGREEMENT' opens the document with standard TRA preamble, parties block (DWA and DWI II), and defined terms including Basis Adjustment, Tax Benefit Schedule, and Early Termination. [v2 false negative — plain-text exhibit with whitespace-centered title; not HTML-detected]"
0001297401,0001193125-05-061294,dex109.htm,uncertain,2,phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001297401,0001297401-13-000026,dwaex10193013.htm,uncertain,2,phrase,,,,
0001297401,0001297401-13-000026,dwaex10293013.htm,uncertain,2,phrase,,,,
0001297401,0001297401-14-000036,dwaex10693014.htm,uncertain,2,phrase,,,,
0001297401,0001297401-14-000036,dwaex10793014.htm,uncertain,2,phrase,,,,
0001297401,0001297401-15-000012,dwaex10263015.htm,uncertain,2,phrase,,,,
0001303276,0001047469-07-001294,a2176154zex-10_3.htm,uncertain,2,phrase|defined_term_section_754,,,,
0001309108,0000950123-09-019943,b76137weexv10w1.htm,uncertain,2,phrase,,,yes,Centered title 'TAX RECEIVABLE PREPAYMENT AGREEMENT' (Wright Express and Realogy); a TRA variant — prepayment/settlement of a TRA qualifies as a TRA contract.
0001309108,0000950123-09-019943,b76137weexv10w2.htm,uncertain,2,phrase|defined_term_hypothetical_tax_liability,,,no,Centered title 'Ratification Agreement' amending an existing TRA (WEX/ABG/Realogy/Wyndham); not a TRA contract itself.
0001309108,0000950123-09-027358,b76223exv10w4.htm,uncertain,2,phrase,,,,
0001309108,0000950123-10-070143,b81942exv10w1.htm,uncertain,2,phrase,,,,
0001309108,0000950123-11-054156,b86748exv10w1.htm,uncertain,2,phrase,,,,
0001309108,0000950135-07-003392,b65578weexv10w1.txt,uncertain,2,phrase,,,,
0001309108,0001140361-25-007445,ny20044175x8_ex10-1.htm,uncertain,2,phrase,,,,
0001309108,0001157523-16-006018,a51372248_ex102.htm,uncertain,2,phrase,,,,
0001309108,0001157523-17-001909,a51583136ex10_1.htm,uncertain,2,phrase,,,,
0001309108,0001157523-18-000075,a51744383ex10_1.htm,uncertain,2,phrase,,,,
0001309108,0001157523-18-001872,a51857003ex10_1.htm,uncertain,2,phrase,,,no,Centered title 'FOURTH AMENDMENT TO CREDIT AGREEMENT' (WEX Inc. and Bank of America); not a TRA.
0001309108,0001157523-19-000105,a51927876_ex101.htm,uncertain,2,phrase,,,,
0001309108,0001157523-19-001260,a51986070ex10_1.htm,uncertain,2,phrase,,,,
0001309108,0001157523-21-000436,a52407328ex10_1.htm,uncertain,2,phrase,,,,
0001309108,0001193125-05-028918,dex104.htm,yes,2,centered_title|phrase|defined_term_hypothetical_tax_liability,,,,
0001309108,0001193125-05-039801,dex103.htm,uncertain,2,phrase|defined_term_hypothetical_tax_liability,,,,
0001309108,0001193125-05-039801,dex105.htm,uncertain,2,phrase,,,,
0001309108,0001193125-13-085019,d447331dex1016.htm,uncertain,2,phrase,,,,
0001309108,0001309108-14-000188,wex20140930ex101.htm,uncertain,2,phrase,,,,
0001309108,0001309108-15-000104,a162mplan.htm,uncertain,2,phrase|defined_term_tax_asset,,,no,Centered title 'WEX INC. 2015 SECTION 162(m) PERFORMANCE INCENTIVE PLAN'; TRA only as adjustment item in Adjusted Net Income definition.
0001309108,0001309108-19-000116,exhibit.htm,uncertain,2,phrase,,,,
0001309108,0001309108-20-000010,a102wex-eighthamendmen.htm,uncertain,2,phrase,,,,
0001309108,0001309108-20-000150,a9thamendmentforedgari.htm,uncertain,2,phrase,,,,
0001309108,0001309108-23-000161,wex-firstamendmenttoamen.htm,uncertain,2,phrase,,,no,Document title 'FIRST AMENDMENT TO AMENDED AND RESTATED CREDIT AGREEMENT' (WEX Inc. and Bank of America as Administrative Agent); not a TRA.
0001309108,0001309108-23-000176,exhibit101wex-thirdamendme.htm,uncertain,2,phrase,,,,
0001309108,0001309108-24-000013,exhibit101wex-fourthamendm.htm,uncertain,2,phrase,,,,
0001309108,0001309108-25-000017,wex-tab01xsixthamendment.htm,uncertain,2,phrase,,,no,Sixth Amendment to Amended and Restated Credit Agreement (WEX Inc.); TRA only a referenced covenant section in amended TOC.
0001309108,0001309108-25-000146,amendedandrestated2019equi.htm,uncertain,2,phrase,,,,
0001309108,0001628280-24-023337,exhibit101wex-fifthamendme.htm,uncertain,2,phrase,,,,
0001311370,0001193125-05-078109,dex103.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001311370,0001193125-05-091140,dex103.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001311370,0001193125-05-126336,dex103.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001311370,0001193125-15-226031,d945172dex101.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001311370,0001193125-15-355042,d41332dex102.htm,yes,2,centered_title|phrase|defined_term_realized_tax_benefit|defined_term_hypothetical_tax_liability|defined_term_exchange_basis|defined_term_tax_benefit_schedule|defined_term_early_termination_payment|defined_term_basis_adjustment,,,,
0001317685,0001317685-25-000013,exhibit101-sx1.htm,no,2,,,,,
0001317685,0001628279-25-000556,filename2.htm,no,2,,,,,
